,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
5271,1989,toyota,pickup,4x4 dx,,manual,jt4rn01p2k0005711,ca,,131187.0,white,gray,kearny mesa toyota,2875.0,800.0,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
5274,1989,,,,,automatic,1gccs14z3k8155622,ca,2.0,183460.0,blue,gray,purple heart services inc,925.0,300.0,Wed Feb 25 2015 07:10:00 GMT-0800 (PST)
5278,1989,mercedes,300e,,,automatic,wdbea30d8ka972691,ca,2.0,185704.0,white,gray,purple heart services inc,650.0,200.0,Tue Dec 23 2014 15:10:00 GMT-0800 (PST)
5285,1989,mercedes,300e,,,automatic,wdbea30d5ka883323,ca,3.0,154414.0,gold,beige,mercedes benz of temecula,750.0,400.0,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
60238,1989,toyota,camry,dx,,automatic,4t1sv21e4ku107818,md,2.0,142761.0,white,blue,purple heart services inc,675.0,275.0,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
109983,1989,chevrolet,corvette,,,automatic,1g1yy2183k5111118,nj,4.0,67041.0,red,red,autolenders liquidation center,4900.0,6100.0,Wed Jan 14 2015 09:30:00 GMT-0800 (PST)
109985,1989,,,,,,1gcdc14k4ke168952,tx,1.0,167422.0,,,titlemax/fort worth tx5,675.0,800.0,Tue Jan 20 2015 03:00:00 GMT-0800 (PST)
137436,1989,chevrolet,corvette,,,automatic,1g1yy2182k5104385,fl,3.0,76856.0,red,tan,mercedes benz of north orlando,4625.0,4000.0,Tue Jan 13 2015 18:00:00 GMT-0800 (PST)
207432,1989,,,,,automatic,wdbea30d4kb042586,fl,3.0,154244.0,blue,gray,lexus of clearwater,625.0,300.0,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
218171,1989,,,,,automatic,jhmca5645kc055884,wa,1.0,147888.0,green,beige,capital auto auction,275.0,400.0,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
218175,1989,,,,,automatic,1gccs14z7k8239233,tx,2.0,218052.0,white,blue,titlemax/balcone heights tx1,1025.0,400.0,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
234566,1989,,,,,automatic,1g6cd5156k4257154,ut,1.0,169765.0,silver,gray,purple heart services inc,600.0,150.0,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
234569,1989,,,,,automatic,1g6cd5152k4375766,il,1.0,59417.0,gray,red,top notch auto brokers inc,850.0,2400.0,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
234572,1989,,,,,automatic,1g6dw51y4kr719352,md,2.0,24747.0,blue,blue,manheim baltwash/junk a car scrap,975.0,225.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
281627,1989,,,,,automatic,1g6dw51y4kr712210,ca,2.0,28870.0,burgundy,burgundy,livermore toyota and livermore scion,950.0,1000.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
335774,1989,,,,,automatic,1fmeu15n3klb31425,tx,4.0,37755.0,green,beige,motorcars of south texas,3100.0,7900.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
449722,1989,,,,,automatic,wdbea30d5kb023867,tx,2.0,182985.0,white,gray,automotive remarketing inc,450.0,350.0,Tue May 26 2015 03:30:00 GMT-0700 (PDT)
449723,1989,,,,,automatic,1g6cd5156k4255999,tx,2.0,66565.0,yellow,beige,champion ford,1575.0,300.0,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
462886,1989,,,,,automatic,wdbea30dxka997785,nj,1.0,132551.0,black,tan,purple heart services inc,550.0,500.0,Thu May 28 2015 11:05:00 GMT-0700 (PDT)
481527,1989,,,,,automatic,wdbba48d3ka094424,mn,2.0,104408.0,gray,black,blue ribbon motors,6625.0,5600.0,Thu Jun 04 2015 03:45:00 GMT-0700 (PDT)
