,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
78404,1984,chevrolet,corvette,,,automatic,1g1ay0785e5115849,md,2.0,46891.0,black,black,darcars chrysler jeep of rockville,3300.0,3100.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
102085,1984,,,,,automatic,1g1ay0786e5117884,fl,1.0,122136.0,blue,gray,d&a fine cars,2175.0,2600.0,Tue Feb 10 2015 01:20:00 GMT-0800 (PST)
174101,1984,,,,,automatic,1g1ay0781e5107781,mi,3.0,60725.0,gold,beige,stream llc dba stream remarketing solutions,3000.0,1800.0,Thu Feb 05 2015 01:30:00 GMT-0800 (PST)
182345,1984,,,,,automatic,1g1ay0782e5117753,ca,1.0,170799.0,black,red,felix chevrolet & cadillac,750.0,1100.0,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
234576,1984,,,,,automatic,1g1ay0782e5130311,fl,3.0,136940.0,silver,black,dyer chevrolet,1700.0,2200.0,Tue Feb 03 2015 10:00:00 GMT-0800 (PST)
