,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
60242,1988,,,,,automatic,wdbba48d1ja084599,fl,2.0,100459.0,red,beige,burnyzz llc,5525.0,6200.0,Wed Jan 21 2015 07:15:00 GMT-0800 (PST)
143821,1988,,,,,automatic,1g6cd5155j4269570,fl,1.0,128493.0,burgundy,—,courtesy palm harbor honda,575.0,900.0,Thu Jan 15 2015 08:20:00 GMT-0800 (PST)
166355,1988,,,,,automatic,1lnbm81f0jy729287,md,2.0,92588.0,gray,gray,purple heart services inc,600.0,300.0,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
166356,1988,,,,,manual,wp0ab0942jn472161,md,2.0,86746.0,black,black,purple heart services inc,3225.0,2800.0,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
167910,1988,,,,,automatic,wdbba48d2ja081971,md,2.0,165063.0,silver,blue,manheim baltwash/junk a car scrap,3125.0,1000.0,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
191465,1988,,,,,automatic,wdbba48d8ja080758,ga,1.0,241751.0,black,black,titlemax/conyers ga1,2625.0,700.0,Thu Jan 22 2015 04:30:00 GMT-0800 (PST)
234575,1988,,,,,manual,1n6nd11s9jc374698,md,2.0,78831.0,brown,gray,purple heart services inc,2650.0,650.0,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
234577,1988,,,,,automatic,1g6cd5153j4220089,nv,2.0,195266.0,blue,—,automotive remarketing inc,425.0,200.0,Wed Feb 18 2015 16:00:00 GMT-0800 (PST)
281626,1988,,,,,automatic,1hgca5639ja152994,md,2.0,224921.0,red,burgundy,purple heart services inc,400.0,300.0,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
348260,1988,,,,,automatic,wdbba48d4ja090137,pa,4.0,73111.0,white,brown,r hollenshead auto sales inc,6925.0,14700.0,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
385544,1988,,,,,automatic,wdbba48d3ja077508,fl,3.0,82657.0,white,blue,autonation chevrolet coral gables,6825.0,7100.0,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
