,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
7720,1990,Chevrolet,C/K 1500 Series,454SS,Regular Cab,automatic,1gcdc14n8lz223536,ca,,153558.0,black,purple,california fleet inc,5475.0,6500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
30242,1990,Toyota,4Runner,SR5 V6,SUV,,jt3vn39w7l0041265,va,1.0,164016.0,blue,blue,flexco fleet services,600.0,500.0,Thu Dec 18 2014 09:20:00 GMT-0800 (PST)
30250,1990,Honda,Accord,LX,Sedan,manual,jhmcb7550lc076145,tx,,104163.0,burgundy,tan,howorth auto group,750.0,1000.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
30255,1990,Chevrolet,Corvette,Base,Hatchback,automatic,1g1yy2389l5108884,nv,,80095.0,red,—,auto resource,4900.0,3800.0,Thu Dec 18 2014 11:45:00 GMT-0800 (PST)
30270,1990,Lexus,LS 400,Base,Sedan,automatic,jt8uf11e4l0007858,fl,,1.0,brown,gray,s & s auto leasing corp,800.0,500.0,Fri Dec 19 2014 09:25:00 GMT-0800 (PST)
30271,1990,Toyota,Camry,Deluxe,Sedan,automatic,jt2sv21exl0345999,wa,2.0,214723.0,blue,blue,donate for charity,675.0,375.0,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
30281,1990,Honda,Accord,EX,Sedan,automatic,jhmcb7661lc036504,tx,2.0,19279.0,gray,tan,automotive remarketing inc,875.0,350.0,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
41337,1990,chevrolet,1500,4x2 ext base,,,2gcec19k2l1242286,mo,,156215.0,white,—,animal protective association of missouri,550.0,800.0,Mon Dec 22 2014 11:00:00 GMT-0800 (PST)
49555,1990,Lexus,LS 400,Base,Sedan,,jt8uf11e8l0045741,md,2.0,232977.0,off-white,tan,purple heart services inc,450.0,300.0,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
49556,1990,Toyota,Camry,Deluxe,Sedan,automatic,4t1sv21e0lu227097,ca,2.0,122877.0,blue,—,charitable auto resource,700.0,400.0,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
49557,1990,Chevrolet,Corvette,Base,Hatchback,automatic,1g1yy2387l5108284,oh,1.0,1.0,red,red,purple heart services inc,7850.0,2800.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
60235,1990,Honda,Accord,LX,Sedan,automatic,jhmcb765xlc131957,nv,1.0,183366.0,gold,—,automotive remarketing inc,775.0,400.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
60240,1990,Mercedes-Benz,300-Class,300E,Sedan,automatic,wdbea30d6lb200847,nv,2.0,141799.0,white,—,automotive remarketing inc,425.0,300.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
60241,1990,Lexus,LS 400,Base,Sedan,automatic,jt8uf11e5l0041243,ca,3.0,106472.0,white,tan,illest motors,550.0,700.0,Wed Dec 31 2014 11:30:00 GMT-0800 (PST)
78403,1990,Honda,Accord,EX,Sedan,automatic,jhmcb7665lc099475,az,1.0,247555.0,gray,gray,cash time title loans,675.0,400.0,Wed Jan 07 2015 11:00:00 GMT-0800 (PST)
86713,1990,Toyota,Corolla,Base,Sedan,automatic,jt2ae91a0l3295341,or,2.0,195851.0,red,gray,purple heart services inc,475.0,200.0,Tue Jan 06 2015 03:31:00 GMT-0800 (PST)
102083,1990,Nissan,300ZX,2+2,Hatchback,,jn1rz26a8lx010976,nv,2.0,152736.0,red,—,centennial hyundai,1550.0,1500.0,Thu Jan 15 2015 03:45:00 GMT-0800 (PST)
109984,1990,Nissan,300ZX,2+2,Hatchback,,jn1rz26a1lx008535,nc,2.0,74055.0,yellow,gray,primeritus remarketing/aas,2325.0,2300.0,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
109986,1990,Cadillac,DeVille,Base,Sedan,automatic,1g6cd5333l4326699,pa,2.0,120590.0,white,purple,purple heart,400.0,325.0,Tue Jan 13 2015 13:01:00 GMT-0800 (PST)
137426,1990,Toyota,Corolla,Deluxe,Sedan,automatic,2t1ae94a8lc016373,fl,2.0,213005.0,white,gray,autonation toyota scion weston,500.0,500.0,Tue Jan 13 2015 18:00:00 GMT-0800 (PST)
137434,1990,Lexus,LS 400,Base,Sedan,automatic,jt8uf11e4l0028791,fl,1.0,102437.0,black,gray,autonation cadillac west palm beach,600.0,400.0,Tue Jan 13 2015 18:00:00 GMT-0800 (PST)
137435,1990,Toyota,Camry,Deluxe,Sedan,automatic,4t1sv21e3lu252866,ga,2.0,201659.0,black,gray,purple heart,675.0,375.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
166359,1990,Honda,Accord,LX,Sedan,manual,1hgcb7554la154103,md,2.0,32286.0,blue,black,purple heart services inc,725.0,300.0,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
187571,1990,,,,,automatic,1gcdc14k4lz102704,tx,2.0,240400.0,red,red,automotive remarketing inc,350.0,1400.0,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
207434,1990,Mazda,MX-5 Miata,Base,Convertible,manual,jm1na3515l0123822,ga,2.0,129102.0,white,black,five star dodge,1400.0,900.0,Fri Jan 30 2015 03:00:00 GMT-0800 (PST)
207921,1990,Honda,Accord,LX,Sedan,automatic,jhmcb7651lc020391,ca,2.0,237586.0,gold,burgundy,honda of santa monica,600.0,350.0,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
218178,1990,Lexus,LS 400,Base,Sedan,automatic,jt8uf11e1l0039294,ca,2.0,249117.0,black,beige,purple heart services inc,700.0,300.0,Wed Feb 25 2015 07:10:00 GMT-0800 (PST)
234565,1990,Lexus,LS 400,Base,Sedan,automatic,jt8uf11e6l0008543,md,1.0,1.0,white,blue,axcess financial,700.0,225.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
234571,1990,,,,,automatic,1gcdc14k8lz274637,nv,3.0,109888.0,red,—,automotive remarketing inc,850.0,450.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
293302,1990,Chevrolet,C/K 1500 Series,454SS,Regular Cab,automatic,1gcdc14n4lz157583,fl,3.0,101927.0,black,red,american bank auto liquidators,7225.0,8000.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
300938,1990,Nissan,300ZX,GS,Hatchback,manual,jn1rz24a1lx006044,tx,1.0,181363.0,red,red,remarketing by ge/midsouth capital lp,1500.0,200.0,Thu Mar 05 2015 06:00:00 GMT-0800 (PST)
321801,1990,Lexus,LS 400,Base,Sedan,automatic,jt8uf11e4l0010629,fl,2.0,221945.0,white,tan,autonation ford jacksonville,575.0,1100.0,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
321804,1990,Mazda,MX-5 Miata,Base,Convertible,manual,jm1na3513l0126525,md,2.0,119379.0,blue,black,manheim baltwash/junk a car scrap,1500.0,425.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
361577,1990,,,,,manual,2j4fy19e4lj510779,ca,1.0,203130.0,red,gray,pass auto center,2500.0,2500.0,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
363610,1990,Chevrolet,C/K 1500 Series,454SS,Regular Cab,automatic,1gcdc14n5lz242061,tn,4.0,34266.0,black,red,t & s motors,9550.0,11500.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
385540,1990,Mazda,MX-5 Miata,Base,Convertible,manual,jm1na3510l0124909,fl,2.0,63300.0,red,black,mini of fort myers,2150.0,1600.0,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
394762,1990,Toyota,Camry,Deluxe,Sedan,,4t1sv21e5lu272844,fl,2.0,265498.0,blue,gray,coggin deland ford,525.0,325.0,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
394764,1990,Mazda,MX-5 Miata,Base,Convertible,manual,jm1na3512l0109926,ca,2.0,70370.0,blue,gray,aaero sweet corporation,2075.0,2500.0,Wed Mar 04 2015 03:30:00 GMT-0800 (PST)
399830,1990,Toyota,4Runner,SR5 V6,SUV,automatic,jt3vn39w1l0036787,ca,1.0,206522.0,red,gray,premium auto wholesale,750.0,550.0,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
411101,1990,Mercedes-Benz,300-Class,300E,Sedan,automatic,wdbea30d3lb215497,tx,2.0,117082.0,white,gray,titlemax/austin tx19,950.0,250.0,Wed Apr 29 2015 03:00:00 GMT-0700 (PDT)
435610,1990,Chevrolet,Corvette,Base,Hatchback,automatic,1g1yy2386l5118420,tx,2.0,58181.0,red,black,texas direct auto,6075.0,3700.0,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
445207,1990,Mazda,MX-5 Miata,Base,Convertible,manual,jm1na3518l0136144,fl,2.0,129347.0,white,black,gettel toyota of lakewood,1675.0,2400.0,Thu May 21 2015 09:00:00 GMT-0700 (PDT)
460000,1990,Honda,Accord,LX,Sedan,automatic,1hgcb7653la105991,pa,2.0,152307.0,red,beige,purple heart,475.0,300.0,Tue May 26 2015 06:01:00 GMT-0700 (PDT)
462885,1990,Jaguar,XJ-Series,XJ6 Sovereign,Sedan,automatic,sajhy174xlc607411,ga,2.0,135657.0,blue,tan,capital auto auction,775.0,550.0,Thu May 28 2015 05:30:00 GMT-0700 (PDT)
481528,1990,Honda,Accord,LX,sedan,,jhmcb7656lc084488,tx,1.0,58514.0,brown,beige,purple heart services inc,625.0,300.0,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
530870,1990,Honda,Accord,LX,sedan,,jhmcb7652lc018259,fl,1.0,125068.0,beige,purple,courtesy nissan of tampa,525.0,300.0,Thu Jun 11 2015 09:20:00 GMT-0700 (PDT)
547231,1990,Honda,Accord,EX,Sedan,manual,jhmcb7567lc044186,co,1.0,189267.0,gray,gray,autonation subaru arapahoe,600.0,400.0,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
552716,1990,Chevrolet,Corvette,Base,hatchback,automatic,1g1yy2385l5101074,mo,2.0,108639.0,green,tan,tdaf remarketing,3875.0,4100.0,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
553521,1990,,,,,automatic,1gcdc14k3lz140490,nc,2.0,125014.0,red,purple,honda of concord,1200.0,700.0,Wed Jun 17 2015 07:00:00 GMT-0700 (PDT)
