,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
7731,1986,mercedes,420sel,,,automatic,wdbca35d7ga223579,ca,,72250.0,black,black,mercedes benz of san diego,1625.0,1400.0,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
41338,1986,,,,,automatic,1g1yy0782g5105880,pa,3.0,50018.0,yellow,gray,purple heart,4950.0,4600.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
95346,1986,chevrolet,corvette,,,manual,1g1yy0783g5105631,nj,4.0,12466.0,red,black,lester glenn buick,5000.0,8600.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
182344,1986,,,,,,wdbca35d8ga238592,tn,1.0,189591.0,silver,—,titlebucks / clarksville tn1,400.0,400.0,Tue Jan 27 2015 02:00:00 GMT-0800 (PST)
191462,1986,,,,,automatic,wdbca35d1ga264760,va,1.0,169883.0,white,tan,purple heart services inc,500.0,600.0,Wed Feb 04 2015 01:05:00 GMT-0800 (PST)
207919,1986,,,,,automatic,1g1yy0782g5107113,ca,3.0,75349.0,white,gray,fiesta ford lincoln mercury,3200.0,4300.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
293301,1986,,,,,manual,jt4rn50r6g0129696,nv,2.0,192934.0,blue,—,titlebucks/lasvegas nv1,975.0,550.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
348259,1986,,,,,,wdbca35d9ga206623,tx,1.0,107094.0,white,—,capital auto auction,1050.0,900.0,Tue Feb 24 2015 03:00:00 GMT-0800 (PST)
440142,1986,,,,,automatic,1g1yy678xg5902428,sc,1.0,77270.0,yellow,black,conway chry dodge jeep inc,5050.0,4300.0,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
530892,1986,,,,,automatic,1g1yy0786g5104571,ga,1.0,117616.0,black,black,innovative auto llc,2925.0,2000.0,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
547229,1986,,,,,automatic,wdbca35dxga253031,wa,1.0,273327.0,gray,gray,purple heart services inc,275.0,275.0,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
