,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
5289,1991,Lexus,LS 400,Base,Sedan,automatic,jt8uf11e5m0094008,ca,2.0,171533.0,silver,silver,san diego sports cars,1075.0,1400.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
30243,1991,Mercedes-Benz,500-Class,500SL,Convertible,automatic,wdbfa66e5mf030237,fl,2.0,117006.0,blue,beige,silva auto sales,2100.0,1600.0,Fri Feb 06 2015 01:20:00 GMT-0800 (PST)
30245,1991,Mercedes-Benz,300-Class,300E,Sedan,automatic,wdbea30d4mb457829,il,,219954.0,gold,—,signature auto enterprises inc,675.0,650.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
30254,1991,Toyota,Corolla,Deluxe,Sedan,automatic,jt2ae94axm3443766,wa,2.0,154722.0,silver,gray,capital auto auction,475.0,350.0,Tue Dec 30 2014 12:40:00 GMT-0800 (PST)
30259,1991,Toyota,Camry,LE V6,Sedan,automatic,4t1vv22e2mu061744,ca,,169057.0,red,—,metro nissan of montclair,575.0,550.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
30264,1991,Nissan,Maxima,GXE,Sedan,automatic,jn1hj01p5mt524361,fl,2.0,177167.0,black,gray,coral springs honda,575.0,400.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
30265,1991,Buick,Park Avenue,Base,Sedan,automatic,1g4cw53l0m1629431,fl,,130065.0,silver,gray,daytona toyota,500.0,500.0,Wed Dec 17 2014 15:00:00 GMT-0800 (PST)
30267,1991,toyota,previa,le,,automatic,jt3ac12r9m0046854,va,2.0,226008.0,blue,blue,purple heart,775.0,350.0,Thu Dec 18 2014 11:50:00 GMT-0800 (PST)
30268,1991,Toyota,Camry,Deluxe,Sedan,automatic,jt2sv21e3m3460184,ca,2.0,252591.0,gray,gray,honda of serramonte,300.0,150.0,Wed Jan 21 2015 07:10:00 GMT-0800 (PST)
49466,1991,Chevrolet,Corvette,Base,Convertible,automatic,1g1yy3383m5102652,ca,3.0,58049.0,black,black,i 10 toyota,6175.0,5200.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
49470,1991,toyota,previa,le,,automatic,jt3ac12r3m0045974,md,2.0,274149.0,white,blue,manheim baltwash/junk a car scrap,600.0,275.0,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
49472,1991,Mercedes-Benz,500-Class,500SL,Convertible,automatic,wdbfa66e7mf035858,ca,3.0,175568.0,silver,gray,bob baker jeep,1050.0,1300.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
49476,1991,Honda,Accord,LX,Sedan,automatic,1hgcb7655ma146317,md,2.0,171205.0,blue,—,purple heart services inc,750.0,275.0,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
49479,1991,buick,regal,gran sport,,,2g4wd54l8m1416495,oh,1.0,47899.0,red,gray,purple heart services inc,1025.0,425.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
49486,1991,toyota,pickup,4x4,,automatic,jt4vn13d4m5057760,ga,1.0,128235.0,red,gray,crown nissan greenville,2225.0,1100.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
60234,1991,Honda,Accord,SE,Sedan,automatic,jhmcb7683mc096190,md,2.0,186903.0,gray,blue,purple heart services inc,575.0,275.0,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
60236,1991,Toyota,Corolla,Deluxe,Sedan,automatic,1nxae94a7mz175093,tx,1.0,199887.0,white,blue,titlebucks/san antonio-tx1,475.0,300.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
60237,1991,Toyota,Camry,Deluxe,Sedan,automatic,4t1sv21e8mu304686,fl,3.0,244226.0,white,blue,autonation toyota winter park,300.0,500.0,Tue Jan 13 2015 18:00:00 GMT-0800 (PST)
60239,1991,Mazda,MX-5 Miata,Base,Convertible,automatic,jm1na3513m1237748,nv,2.0,110154.0,white,—,automotive remarketing inc,1350.0,800.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
78385,1991,Toyota,Camry,Deluxe,Sedan,automatic,4t1sv21e5mu453282,md,2.0,91780.0,white,beige,purple heart services inc,550.0,550.0,Tue Jan 06 2015 04:00:00 GMT-0800 (PST)
78388,1991,Mazda,MX-5 Miata,Base,Convertible,automatic,jm1na3518m1211663,ga,2.0,246169.0,red,gray,titlemax/martin luther king ga1,175.0,600.0,Thu Jan 08 2015 12:30:00 GMT-0800 (PST)
84854,1991,Chevrolet,C/K 1500 Series,Silverado,Regular Cab,automatic,1gcdc14z9mz173928,nv,2.0,117616.0,black,—,tiger financial management llc,950.0,550.0,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
95345,1991,Lexus,LS 400,Base,Sedan,automatic,jt8uf11e9m0096702,ga,2.0,189674.0,black,gray,titlemax/martin luther king ga1,1250.0,450.0,Thu Jan 08 2015 12:30:00 GMT-0800 (PST)
109980,1991,buick,regal,gran sport,,automatic,2g4wd54l3m1411978,tx,2.0,65658.0,blue,blue,automotive remarketing inc,775.0,400.0,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
