,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
5151,1997,Ford,F-150,XLT,Extended Cab,,1ftdx1760vna68581,ca,,423691.0,white,—,ana car sale,575.0,500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5152,1997,Subaru,Legacy,Outback Limited,Wagon,automatic,4s3bg685xv7646670,ca,2.0,193138.0,blue,gray,charitable auto resource,1250.0,400.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
5154,1997,Lexus,ES 300,Base,Sedan,automatic,jt8bf22g0v0013060,ca,,256513.0,white,—,crown lexus,1000.0,400.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5158,1997,Mercedes-Benz,E-Class,E320,Sedan,automatic,wdbjf55f1va389812,ca,35.0,103257.0,silver,gray,aaero sweet company,1750.0,2500.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
5162,1997,Infiniti,QX4,Base,SUV,automatic,jnrar05y5vw005370,ca,19.0,203286.0,gold,beige,mercedes benz of temecula,625.0,850.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5164,1997,,,,,automatic,1g2wj52k4vf277794,ca,2.0,169735.0,white,gray,manheim san francisco bay,800.0,150.0,Wed Feb 25 2015 07:10:00 GMT-0800 (PST)
5166,1997,Honda,Accord,EX V6,Sedan,automatic,1hgce667xva009264,ca,19.0,214580.0,green,beige,aaero sweet company,450.0,400.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
5176,1997,mazda,mpv,base,,automatic,jm3lv5222v0825742,ca,19.0,111414.0,green,tan,trade in solutions,800.0,900.0,Tue Dec 23 2014 16:00:00 GMT-0800 (PST)
5178,1997,Toyota,4Runner,SR5,SUV,automatic,jt3hn86r1v0077982,ca,28.0,211287.0,white,brown,first choice auto center,1850.0,1600.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
5182,1997,Nissan,Sentra,GXE,Sedan,automatic,1n4ab41d6vc754796,ca,19.0,327237.0,silver,beige,gosch ford,625.0,600.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5184,1997,ford,explorer,awd xlt,,automatic,1fmdu35p5vza56513,ca,1.0,195748.0,white,beige,purple heart services inc,500.0,100.0,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
5186,1997,,,,,automatic,1fthx26f0vec28239,ca,19.0,264568.0,white,red,primeritus remarketing/loan service center,2475.0,500.0,Wed Jan 28 2015 07:00:00 GMT-0800 (PST)
5190,1997,BMW,5 Series,540i,Sedan,automatic,wbade6329vbw52059,ca,2.0,210158.0,silver,gray,purple heart services inc,1425.0,250.0,Tue Dec 23 2014 13:40:00 GMT-0800 (PST)
5191,1997,Saturn,S-Series,SL2,Sedan,automatic,1g8zk5272vz329160,ca,,165566.0,green,—,melody toyota,450.0,900.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5194,1997,chevrolet,camaro,,,automatic,2g1fp22k1v2117374,ca,19.0,183054.0,green,gray,billion dodge chrysler jeep,650.0,550.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5201,1997,Chevrolet,Tahoe,LT,SUV,automatic,1gnek13r6vj349396,ca,3.0,162982.0,white,gray,worthington ford,1100.0,1150.0,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
5205,1997,Mitsubishi,Eclipse,RS,Hatchback,manual,4a3ak34y3ve133763,ca,,187984.0,silver,gray,mossy nissan oceanside,675.0,300.0,Wed Dec 17 2014 13:30:00 GMT-0800 (PST)
5210,1997,Chevrolet,Suburban,1500,SUV,automatic,3gnfk16r8vg109106,ca,1.0,244874.0,green,beige,tiger financial management llc,1000.0,500.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
5212,1997,dodge tk,gr,caravn se,,automatic,1b4gp44r7vb473221,ca,19.0,246997.0,white,gray,yucca valley chrysler plymouth dodge inc,625.0,550.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
5216,1997,Nissan,Maxima,SE,Sedan,automatic,jn1ca21d0vt838108,ca,2.0,180109.0,black,black,veros credit,850.0,300.0,Wed Jan 14 2015 03:00:00 GMT-0800 (PST)
5221,1997,Volkswagen,Jetta,GL,Sedan,manual,3vwrb81h2vm063008,ca,34.0,102016.0,black,gray,cabe toyota,750.0,1200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5224,1997,Chevrolet,Cavalier,LS,Sedan,automatic,1g1jf5248v7190234,ca,1.0,106235.0,green,blue,charitable auto resource,775.0,400.0,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
5227,1997,ford,f150,4x4 ext lariat,,,1ftex18l9vkc18584,ca,,115395.0,burgundy,—,walters auto sales/service inc,2125.0,2400.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
5236,1997,Ford,Ranger,XLT,Extended Cab,manual,1ftcr14a5vpb22900,ca,27.0,194961.0,white,gray,gosch ford,1100.0,1000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5237,1997,Toyota,Camry,LE,Sedan,,jt2bg22k3v0093353,ca,,138888.0,gold,—,stevens creek auto imports,1625.0,3000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5239,1997,BMW,5 Series,528i,Sedan,,wbadd6328vbw07312,ca,,115007.0,white,—,t & c auto wholesale & detail,1750.0,2400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5240,1997,Pontiac,Grand Prix,GT,Sedan,automatic,1g2wp52k4vf297543,ca,2.0,187538.0,green,gray,charitable auto resource,575.0,400.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
5251,1997,Ford,Ranger,XLT,Regular Cab,manual,1ftcr10a7vpb48257,ca,,158999.0,white,gray,witt lincoln,1575.0,1200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5252,1997,Honda,Civic,EX,Coupe,,1hgej8249vl136118,ca,,188765.0,green,—,slr auto llc,1025.0,500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5261,1997,Honda,Accord,LX,Sedan,automatic,1hgcd5639va192697,ca,24.0,170292.0,white,brown,wondries toyota,850.0,800.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5263,1997,Toyota,4Runner,SR5,SUV,automatic,jt3gn86r4v0024415,ca,23.0,169599.0,gray,brown,felix chevrolet & cadillac,2100.0,1200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5265,1997,Ford,Mustang SVT Cobra,Base,Convertible,manual,1falp46v6vf149039,ca,33.0,102865.0,red,black,mechanics bank,5750.0,900.0,Wed Jan 14 2015 07:00:00 GMT-0800 (PST)
7678,1997,Chevrolet,Cavalier,Base,Sedan,automatic,1g1jc5248v7241336,ca,1.0,164901.0,white,blue,crown lexus,425.0,450.0,Tue Jan 20 2015 05:00:00 GMT-0800 (PST)
7695,1997,Honda,CR-V,Base,SUV,automatic,jhlrd1844vc061014,ca,,204823.0,green,—,toyota of orange,1700.0,1400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
7698,1997,Dodge,Ram Pickup 1500,Laramie SLT,Extended Cab,automatic,3b7hc13y4vg753101,ca,19.0,119968.0,red,silver,mercedes benz of laguna niguel,1375.0,1300.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
7702,1997,Nissan,Pathfinder,LE,SUV,automatic,jn8ar05sxvw188099,ca,,250012.0,burgundy,gray,kearny mesa toyota,425.0,1100.0,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
7707,1997,Cadillac,Eldorado,Base,Coupe,automatic,1g6el12yxvu619682,ca,,120108.0,white,gray,trade in solutions irvine,1325.0,800.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
7718,1997,Nissan,Truck,XE,Extended Cab,manual,1n6sd16s6vc311205,ca,19.0,173650.0,red,gray,american auto finance,900.0,1400.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
7719,1997,Toyota,Tercel,CE,Coupe,automatic,jt2ac52l8v0237268,ca,29.0,201819.0,white,tan,bob baker jeep,600.0,450.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
7724,1997,pontiac,grand,prix se,,automatic,1g2wj52k2vf221448,ca,,98406.0,green,—,hanford toyota scion,875.0,400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
7733,1997,Toyota,Camry,LE,Sedan,automatic,4t1bg22k9vu026638,ca,19.0,171480.0,gray,gray,arrowhead auto group inc,1525.0,1700.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
29696,1997,Ford,Crown Victoria,LX,Sedan,automatic,2falp74w6vx105494,va,27.0,151251.0,off-white,beige,myrddin fleet services,850.0,400.0,Thu Dec 18 2014 08:50:00 GMT-0800 (PST)
29698,1997,Acura,TL,3.2,Sedan,automatic,jh4ua3646vc012166,nv,,143343.0,silver,—,reliable auto sales,700.0,900.0,Thu Dec 18 2014 11:45:00 GMT-0800 (PST)
29699,1997,Chevrolet,C/K 1500 Series,Silverado,Regular Cab,automatic,1gcec14w6vz232624,wi,,195106.0,red,gray,wilde honda,850.0,1000.0,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
29701,1997,Ford,Explorer,XLT,SUV,automatic,1fmdu34e2vzb99936,tx,,233377.0,green,—,titlemax/socorro tx2,550.0,700.0,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
29702,1997,BMW,3 Series,328i,Convertible,manual,wbabk7327vet64772,tx,19.0,188352.0,gray,black,remarketing services of el paso,625.0,1500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
29703,1997,Chrysler,Sebring,JXi,Convertible,automatic,3c3el55h7vt614079,il,,114297.0,red,—,exclusive motor cars inc,875.0,600.0,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
29706,1997,Dodge,Intrepid,ES,Sedan,,2b3hd56f1vh771734,va,,159148.0,green,—,the car ministry,350.0,550.0,Thu Dec 18 2014 11:50:00 GMT-0800 (PST)
29708,1997,,,,,automatic,1ftex18l5vkb69111,ne,,224166.0,green,tan,woodhouse ford inc,1350.0,800.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
29709,1997,BMW,7 Series,740i,Sedan,automatic,wbagf8325vdl49158,nv,1.0,1.0,white,—,automotive remarketing inc,2975.0,450.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
29711,1997,Buick,LeSabre,Limited,Sedan,automatic,1g4hr52k8vh588724,ny,,121880.0,gray,tan,della buick gmc cadillac inc,1125.0,350.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
29712,1997,BMW,7 Series,740i,Sedan,automatic,wbagf8329vdl49258,tx,,158312.0,black,tan,mac churchhill auto mall,1800.0,1500.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
29713,1997,ford,expedition,4x4 xlt,,automatic,1fmfu18l4vlb38144,tx,,148711.0,silver,gray,main street motors,1100.0,1350.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
29714,1997,Ford,F-150,XL,Regular Cab,automatic,2ftdf172xvca01363,ny,,112784.0,silver,gray,mohawk auto sales inc,1375.0,550.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
29719,1997,Audi,A4,1.8T quattro,Sedan,automatic,waucb88d5va171600,ut,,161508.0,red,—,larry h miller ford lincoln mercury-sandy,850.0,600.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
29720,1997,Buick,Century,Custom,Sedan,automatic,2g4ws52m7v1468641,ma,,74788.0,blue,gray,boch new to you superstore,1075.0,425.0,Thu Dec 18 2014 18:30:00 GMT-0800 (PST)
29722,1997,Ford,Expedition,XLT,SUV,automatic,1fmeu18w4vlb45004,nv,2.0,239906.0,red,—,automotive remarketing inc,700.0,700.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
29723,1997,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54y3vu267694,mi,,111130.0,gold,tan,north brothers ford inc,825.0,300.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
29724,1997,Chevrolet,Cavalier,Base,Coupe,automatic,1g1jc1248v7150365,il,,131277.0,red,—,grossinger city toyota,500.0,350.0,Thu Dec 18 2014 14:00:00 GMT-0800 (PST)
29725,1997,Chevrolet,Blazer,Base,SUV,automatic,1gndt13w8v2210217,il,,138143.0,brown,—,fields volvo,875.0,750.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
