,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
5146,1998,Volvo,S90,Base,Sedan,automatic,yv1ks9609w1124439,ca,2.0,204947.0,gray,black,purple heart services inc,575.0,200.0,Tue Dec 23 2014 13:40:00 GMT-0800 (PST)
5149,1998,Saturn,S-Series,SL1,Sedan,automatic,1g8zh528xwz303897,ca,,151438.0,gold,gray,poway honda,750.0,200.0,Wed Dec 17 2014 13:30:00 GMT-0800 (PST)
5156,1998,Jeep,Cherokee,Sport,SUV,automatic,1j4fj68s2wl204655,ca,,149623.0,red,—,beverly hills bmw,1375.0,2000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5160,1998,Lexus,GS 300,Base,Sedan,automatic,jt8bd68s5w0025151,ca,19.0,217658.0,black,beige,aaero sweet company,2200.0,1650.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
5165,1998,Lexus,ES 300,Base,Sedan,automatic,jt8bf28g7w0138677,ca,2.0,183428.0,gray,—,purple heart services inc,1575.0,950.0,Wed Dec 17 2014 15:10:00 GMT-0800 (PST)
5172,1998,Chrysler,Sebring,JXi,Convertible,automatic,3c3el55h4wt280160,ca,22.0,75328.0,gold,beige,motor city,800.0,550.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5174,1998,Lexus,GS 300,Base,Sedan,automatic,jt8bd68s9w0024634,ca,19.0,197759.0,green,beige,lexus of stevens creek,2325.0,1900.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5179,1998,Toyota,Camry,LE,Sedan,,jt2bg22k8w0221765,ca,2.0,219160.0,black,beige,charitable auto resource,1125.0,1000.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
5181,1998,dodge,caravan,,,automatic,2b4fp25b4wr591568,ca,28.0,240737.0,brown,brown,south coast subaru,500.0,500.0,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
5185,1998,Dodge,Ram Pickup 1500,ST,Extended Cab,automatic,3b7hc12y4wm286931,ca,,118275.0,green,—,gta motors,1175.0,1000.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
5189,1998,Nissan,Frontier,XE,Extended Cab,manual,1n6dd26s3wc307774,ca,42.0,144215.0,green,brown,surf city nissan,3425.0,3100.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5192,1998,Volkswagen,Jetta,GL,Sedan,automatic,3vwrb81h6wm237101,ca,2.0,111026.0,black,gray,sonnen porsche audi vlksw,825.0,200.0,Wed Jan 07 2015 07:10:00 GMT-0800 (PST)
5196,1998,Volvo,V70,Base,Wagon,automatic,yv1lw5572w2466115,ca,19.0,165970.0,silver,gray,high bid trading co inc,900.0,500.0,Wed Jan 14 2015 03:00:00 GMT-0800 (PST)
5198,1998,Jaguar,XJ-Series,XJ8L,Sedan,automatic,sajhx6242wc819084,ca,,93783.0,red,—,brad benson motorsports,1850.0,1000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5199,1998,Nissan,200SX,SE,Coupe,,1n4ab42d2wc513060,ca,27.0,131413.0,red,gray,wondries toyota,1125.0,1400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5207,1998,Ford,Explorer,Sport,SUV,automatic,1fmyu22x8wuc95374,ca,19.0,105662.0,black,gray,scott robinson chrysler jeep dodge ram,1000.0,1100.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
5208,1998,Honda,Accord,LX,Sedan,automatic,1hgcg564xwa243190,ca,,230341.0,green,—,honda of stevens creek,1150.0,200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
