,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
5270,1992,Honda,Accord,LX,Sedan,,jhmcb7659nc032744,ca,,198175.0,gray,—,wondries toyota,600.0,225.0,Wed Dec 17 2014 13:30:00 GMT-0800 (PST)
5273,1992,Cadillac,DeVille,Base,Sedan,automatic,1g6cd53b6n4290503,ca,3.0,114502.0,white,blue,aaero sweet company,925.0,400.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
5275,1992,Toyota,Corolla,Base,Sedan,automatic,1nxae91a2nz329392,ca,2.0,124294.0,blue,blue,purple heart services inc,950.0,300.0,Wed Dec 17 2014 15:10:00 GMT-0800 (PST)
5281,1992,Cadillac,DeVille,Base,Sedan,automatic,1g6cd53b5n4310353,ca,1.0,155093.0,blue,blue,grand auto sales,575.0,600.0,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
5286,1992,Toyota,Corolla,LE,Sedan,automatic,1nxae97axnz297234,ca,2.0,149118.0,gray,gray,purple heart services inc,650.0,300.0,Wed Dec 17 2014 15:10:00 GMT-0800 (PST)
5294,1992,Honda,Accord,LX,Sedan,automatic,jhmcb7657nc049977,ca,2.0,216503.0,black,gray,western motors/aide rent a car,575.0,500.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
5296,1992,Oldsmobile,Cutlass Ciera,S,Sedan,automatic,1g3al54n0n6406766,ca,2.0,268325.0,white,blue,wondries toyota,325.0,200.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
7730,1992,Lexus,SC 400,Base,Coupe,automatic,jt8uz30c6n0012808,ca,3.0,136747.0,black,beige,magnussens lexus of fremont,2025.0,3300.0,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
30241,1992,Lexus,SC 400,Base,Coupe,automatic,jt8uz30c7n0008010,wa,2.0,116826.0,gray,beige,remarketing by ge/archibalds inc,2450.0,2000.0,Wed Jan 28 2015 04:00:00 GMT-0800 (PST)
30246,1992,Lexus,ES 300,Base,Sedan,automatic,jt8vk13t7n0030100,fl,,288119.0,white,tan,arg inc,675.0,1000.0,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
30248,1992,Lexus,SC 400,Base,Coupe,automatic,jt8uz30c7n0003132,tx,,158267.0,black,tan,autonation ford frisco,1825.0,2100.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
30249,1992,Lexus,LS 400,Base,Sedan,,jt8uf11e4n0136122,nj,,92639.0,white,—,jns auto sales inc,750.0,1250.0,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
30251,1992,Buick,LeSabre,Limited,Sedan,automatic,1g4hr53l7nh473846,il,,125052.0,beige,—,phillips chevrolet inc,600.0,1150.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
30256,1992,Toyota,Camry,LE,Sedan,automatic,4t1sk12e2nu117138,tx,,161662.0,blue,blue,durant toyota,625.0,1700.0,Fri Dec 19 2014 14:00:00 GMT-0800 (PST)
30257,1992,Toyota,Corolla,Deluxe,Sedan,automatic,1nxae94a5nz364939,fl,2.0,99444.0,white,gray,purple heart services inc,600.0,400.0,Thu Dec 18 2014 12:45:00 GMT-0800 (PST)
30260,1992,Lexus,SC 400,Base,Coupe,automatic,jt8uz30c3n0006092,fl,1.0,111748.0,red,tan,david j leahy jr,2625.0,1600.0,Thu Jan 15 2015 08:00:00 GMT-0800 (PST)
30263,1992,Mercedes-Benz,300-Class,300SL,Convertible,automatic,wdbfa61e6nf044690,az,,198457.0,white,gray,valley auto center,1225.0,1500.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
30273,1992,Toyota,4Runner,SR5 V6,SUV,,jt3vn39w4n8037999,fl,1.0,198786.0,blue,gray,courtesy hyundai,1325.0,700.0,Thu Jan 15 2015 08:20:00 GMT-0800 (PST)
30274,1992,Ford,Explorer,XLT,SUV,automatic,1fmdu34x1nua10739,fl,1.0,18069.0,gold,beige,coggin nissan at the avenues,375.0,500.0,Thu Feb 05 2015 04:45:00 GMT-0800 (PST)
30276,1992,Honda,Accord,LX,Sedan,automatic,jhmcb7658nc025316,fl,,165899.0,blue,tan,gettel nissan of sarasota,625.0,2000.0,Thu Dec 18 2014 16:10:00 GMT-0800 (PST)
30277,1992,Honda,Accord,EX,Sedan,automatic,1hgcb7672na124360,fl,,167926.0,gold,brown,crown kia,425.0,550.0,Thu Dec 18 2014 16:50:00 GMT-0800 (PST)
30279,1992,Jeep,Cherokee,Laredo,SUV,automatic,1j4fj58s1nl102126,nc,1.0,191415.0,white,beige,crossroads ford of indian trail,625.0,1300.0,Mon Dec 22 2014 09:00:00 GMT-0800 (PST)
30280,1992,Toyota,4Runner,SR5 V6,SUV,automatic,jt3vn39wxn0086154,az,,153478.0,green,gray,bill luke chrysler jeep and dodge inc,1450.0,1200.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
49473,1992,Honda,Accord,LX,Sedan,automatic,1hgcb7659na127352,fl,1.0,169012.0,white,blue,autonation honda clearwater,625.0,700.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
