,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
3811,2005,Acura,TL,3.2,Sedan,automatic,19uua66265a027023,ca,29.0,117227.0,silver,black,time finance co,6500.0,7600.0,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
3829,2005,Audi,A4,1.8T,Sedan,manual,waujc68e75a091829,ca,,1.0,gray,black,quality acceptance,5675.0,2500.0,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
3839,2005,Audi,S4,quattro,Convertible,automatic,wuarl48h65k900786,ca,25.0,59255.0,silver,black,remarketing by ge/manheim san diego,10200.0,9200.0,Tue Dec 23 2014 16:00:00 GMT-0800 (PST)
3858,2005,Acura,RSX,Base,Hatchback,automatic,jh4dc54895s009909,ca,19.0,207575.0,black,black,california auto exchange,1500.0,2500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
3881,2005,Acura,MDX,Touring,SUV,automatic,2hnyd18975h513579,ca,25.0,134755.0,black,black,mercedes benz of foothill ranch,6625.0,6300.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
3901,2005,Acura,TL,3.2,Sedan,automatic,19uua66265a007242,ca,19.0,175649.0,white,beige,800 loan mart,4250.0,3900.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
3907,2005,Audi,S4,quattro,Sedan,manual,waupl68e55a023328,ca,,82318.0,black,—,star car sports llc,10500.0,9000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
3911,2005,Audi,A8,quattro,Sedan,automatic,waull44e45n010099,ca,27.0,156867.0,black,brown,yucca valley ford center,3700.0,5000.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
3924,2005,Audi,A8,L quattro,Sedan,automatic,wauml44ex5n010256,ca,34.0,118813.0,black,brown,high bid trading co inc,6625.0,7000.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
3931,2005,Acura,TL,3.2,Sedan,automatic,19uua66245a069478,ca,35.0,129759.0,gray,gray,bmw of murrieta,5975.0,6500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
