,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
5148,1996,Toyota,4Runner,SR5,SUV,automatic,jt3gn86r1t0018360,ca,2.0,227353.0,silver,tan,aaero sweet company,1600.0,1300.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
5153,1996,Jaguar,XJ-Series,Vanden Plas,Sedan,,sajkx6747tc767428,ca,,82092.0,,,desert plaza auto sales inc,1475.0,4250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
5157,1996,Honda,Accord,EX,Sedan,automatic,1hgcd5666ta074887,ca,,160861.0,white,—,honda of serramonte,850.0,1800.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5159,1996,Toyota,Land Cruiser,Base,SUV,,jt3hj85j6t0123780,ca,,177547.0,red,—,symbolic motor cars,3525.0,3500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
5163,1996,Infiniti,I30,Base,Sedan,automatic,jnkca21dxtt019521,ca,3.0,201745.0,white,beige,charitable auto resource,650.0,850.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
5170,1996,chevrolet,1500,4x2 ext silverado,,automatic,2gcec19r3t1209228,ca,3.0,142834.0,white,blue,purple heart car donation,1450.0,1550.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
5173,1996,Honda,Accord,LX,Sedan,,1hgcd5632ta248749,ca,,211285.0,black,—,champion chrysler jeep dodge,700.0,800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5177,1996,Saturn,S-Series,SL2,Sedan,manual,1g8zj5276tz324401,ca,2.0,185252.0,gold,beige,rpm lenders,625.0,200.0,Wed Mar 04 2015 07:10:00 GMT-0800 (PST)
5187,1996,Dodge,Ram Pickup 1500,LT,Regular Cab,,1b7hc16x7ts713572,ca,,214359.0,blue,—,premier chry jeep dge ram of w covina,875.0,900.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5193,1996,Cadillac,Seville,SLS,Sedan,automatic,1g6ks52y7tu818134,ca,2.0,145475.0,red,beige,hertz remarketing,575.0,400.0,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
5200,1996,Ford,Explorer,XLT,SUV,automatic,1fmdu32x4tzb45202,ca,1.0,175910.0,white,gray,purple heart services inc,625.0,300.0,Wed Dec 17 2014 15:10:00 GMT-0800 (PST)
5204,1996,Ford,Escort,LX,Wagon,automatic,1fasp15j5tw130603,ca,3.0,129542.0,white,gray,mckenna volks,625.0,550.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5214,1996,Infiniti,G20,Base,Sedan,,jnkcp01d5tt545574,ca,3.0,131079.0,gold,beige,nissan of duarte,725.0,400.0,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
5218,1996,Ford,Taurus,LX,Sedan,automatic,1falp53s9tg150791,ca,,153831.0,beige,—,concord toyota,450.0,600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5226,1996,Ford,Taurus,GL,Sedan,automatic,1falp52u3tg235208,ca,1.0,97714.0,white,gray,purple heart services inc,575.0,250.0,Tue Dec 23 2014 13:40:00 GMT-0800 (PST)
5228,1996,ford,windstar,fwd gl,,automatic,2fmda5146tbb38041,ca,,112355.0,beige,gray,weseloh kia carlsbad,650.0,450.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5229,1996,Nissan,Sentra,GXE,Sedan,,1n4ab41d2tc750953,ca,3.0,187124.0,white,gray,wondries toyota,500.0,600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
5232,1996,Nissan,Maxima,SE,Sedan,automatic,jn1ca21d4tt110269,ca,,157942.0,gold,—,t n m auto sales,675.0,1000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5233,1996,Chrysler,Sebring,JXi,Convertible,automatic,3c3el55h6tt295710,ca,3.0,1.0,red,beige,purple heart services inc,1775.0,200.0,Tue Dec 23 2014 13:40:00 GMT-0800 (PST)
5247,1996,BMW,3 Series,328is,Coupe,manual,wbabg1320tet01542,ca,1.0,221625.0,white,beige,apexcars net,825.0,150.0,Wed Feb 04 2015 07:10:00 GMT-0800 (PST)
5250,1996,Toyota,Tercel,Base,Coupe,automatic,jt2ac52l5t0172313,ca,,265426.0,white,—,metro nissan of montclair,550.0,400.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
5257,1996,Jaguar,XJ-Series,Vanden Plas,Sedan,automatic,sajkx6244tc784002,ca,,40854.0,white,tan,automotive remarketing inc,1475.0,350.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
7726,1996,Lexus,SC 300,Base,Coupe,automatic,jt8cd32z3t0034161,ca,,160013.0,white,tan,west coast acceptance,1225.0,300.0,Wed Dec 17 2014 13:30:00 GMT-0800 (PST)
7729,1996,Toyota,Corolla,Base,Sedan,automatic,2t1ba02e8tc145165,ca,1.0,122823.0,white,beige,hertz remarketing,925.0,900.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
