,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
5267,1987,mercedes,300e,,,automatic,wdbea30d7ha447324,ca,2.0,151242.0,silver,gray,purple heart services inc,550.0,300.0,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
41340,1987,,,,,automatic,1g1yy2187h5126181,il,,107955.0,orange,—,lexus of merrillville,3950.0,3000.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
41341,1987,,,,,automatic,1fmeu15n6hla53716,fl,,80081.0,black,—,nava motors corp,1875.0,1500.0,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
68235,1987,,,,,automatic,wdbca39d9ha336588,az,1.0,195154.0,gray,gray,accion new mexico,1050.0,350.0,Wed Jan 07 2015 11:00:00 GMT-0800 (PST)
191464,1987,,,,,automatic,wdbea30d0ha434348,tx,3.0,177057.0,black,gray,automotive remarketing inc,550.0,250.0,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
331792,1987,,,,,automatic,1g1yy2181h5110249,fl,3.0,53122.0,red,red,tdaf remarketing,5475.0,5800.0,Tue Feb 17 2015 01:00:00 GMT-0800 (PST)
460004,1987,,,,,automatic,1g1yy2187h5118288,ca,1.0,230946.0,burgundy,tan,800 loan mart,300.0,500.0,Tue Jun 09 2015 06:00:00 GMT-0700 (PDT)
530894,1987,,,,,automatic,wdbca35dxha302407,fl,2.0,144990.0,green,tan,metro ford inc,600.0,400.0,Fri Jun 12 2015 02:30:00 GMT-0700 (PDT)
